,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Country,Survey,Characteristic,Women with no education,Women with completed primary education,Women with completed secondary education,Women with more than secondary education,Women with primary education,Women with secondary or higher education,Median years of education completed [Women],Women who can read a whole sentence,Women who are literate
Malawi,2015-16 DHS,Region : ..Lilongwe Rural,14,5.3,4.3,0.4,68.2,17.8,4.3,55.5,61.1
Malawi,2015-16 DHS,Region : ..Lilongwe City,3.6,9,17.7,20.4,34.8,61.7,9.5,66.4,90.5
Malawi,2014 MIS,Total 15-49,14.4,11.5,6.7,2.4,62.6,23,5.6,38.8,72.3
Malawi,2014 MIS,Region : Northern,6.1,20.6,7.7,2.5,66.4,27.5,6.9,43.6,83.6
Malawi,2014 MIS,Region : Central,15.9,10.1,7,3.3,61,23.1,5.1,38.2,69.3
Malawi,2014 MIS,Region : Southern,16.7,8.7,6,1.5,62.5,20.8,5.2,37.1,70.1
Malawi,2012 MIS,Total 15-49,18.2,10.7,6.2,1.3,61.3,20.5,5.1,36.8,67.9
Malawi,2012 MIS,Region : Northern,5.6,15.1,5.7,1.4,71.7,22.7,6.4,45.2,81.7
Malawi,2012 MIS,Region : Central,23.3,10.8,4.8,1.2,57.7,18.9,4.7,34.2,63
Malawi,2012 MIS,Region : Southern,17.3,9.1,7.7,1.4,61.3,21.3,4.9,36.7,68.1
Malawi,2010 DHS,Total 15-49,15.2,9.3,5.6,1.8,64.8,20,4.9,39.4,67.6
Malawi,2010 DHS,Region : Northern,3.9,11,6.5,1,71.9,24.3,6.8,44,79.7
Malawi,2010 DHS,Region : Central,16.7,9.5,5,1.5,65.6,17.7,4.3,38.9,64.5
Malawi,2010 DHS,Region : Southern,16.7,8.7,5.9,2.4,62.3,21,4.7,38.6,67.5
Malawi,2010 DHS,Region : ..Chitipa,3.2,10.8,5.8,0.3,72.7,24.1,6.7,38.7,78.1
Malawi,2010 DHS,Region : ..Karonga,3.9,12.8,7.3,1,73.1,23.1,6.4,33.8,74.5
