,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Country,Survey,Characteristic,Women with no education,Women with completed primary education,Women with completed secondary education,Women with more than secondary education,Women with primary education,Women with secondary or higher education,Median years of education completed [Women],Women who can read a whole sentence,Women who are literate
Timor-Leste,2009-10 DHS,Region : Manatuto,24.5,8.9,18.9,1.4,24.7,50.8,6,14.5,73.7
Timor-Leste,2009-10 DHS,Region : Oecussi,41,18.4,5.5,0.9,36,23,3.4,20.6,51.6
Timor-Leste,2009-10 DHS,Region : Viqueque,32.1,9.5,11.8,1.6,24.9,43.1,5.2,15.3,66.6
Togo,2017 MIS,Total 15-49,32,8.7,2.1,3.8,30.6,37.3,4.5,39.2,51.8
Togo,2017 MIS,Region : Ensemble Maritime,21.2,9.5,3.1,6.6,30.2,48.5,5.7,50.9,66.6
Togo,2017 MIS,Region : ..Maritime,30.7,10,1.4,1.3,35.2,34.1,4.4,40.5,53.8
Togo,2017 MIS,Region : ..Lomé,15.5,9.2,4.1,9.7,27.2,57.3,7.1,57.2,74.4
Togo,2017 MIS,Region : Plateaux,39.1,8.8,0.8,0.4,37.1,23.8,2.5,29.2,38.3
Togo,2017 MIS,Region : Centrale,30,9.8,1.9,1,37.7,32.4,4.3,34.4,43
Togo,2017 MIS,Region : Kara,35.9,8.2,2.4,4.6,25,39.2,4.6,33.7,49.1
Togo,2017 MIS,Region : Savanes,63.7,4.7,0.8,0.6,16.5,19.8,,18.4,25.6
Togo,2013-14 DHS,Total 15-49,31.8,7.9,1.5,3.4,33.5,34.8,4.1,5.7,52.3
Togo,2013-14 DHS,Region : Ensemble Maritime,22.4,9.8,2.1,5.8,34.7,42.9,5.2,6.5,62.7
Togo,2013-14 DHS,Region : ..Maritime,34.7,10.8,0.2,0.7,39,26.3,3.6,4.5,44.6
Togo,2013-14 DHS,Region : ..Lomé,15.9,9.3,3.1,8.4,32.4,51.6,5.9,7.5,72.2
Togo,2013-14 DHS,Region : Plateaux,33.6,9.6,1.3,0.6,38.5,27.9,3.6,5.7,47.1
Togo,2013-14 DHS,Region : Centrale,30.4,4.4,0.7,0.6,36.9,32.7,3.7,4.8,48.7
Togo,2013-14 DHS,Region : Kara,34.8,3.7,0.7,3.8,32.5,32.7,3.2,7.4,50.2
Togo,2013-14 DHS,Region : Savanes,65.8,3.5,0.7,0.4,16.6,17.7,,1.5,23.6
Togo,1998 DHS,Total 15-49,48.1,2.6,,0.6,34.9,17,0.5,,
Togo,1998 DHS,Region : Ensemble Maritime,40.8,3.6,,1.4,35.5,23.8,2,,
Togo,1998 DHS,Region : ..Maritime,55.1,2.4,,0.1,32.5,12.3,,,
Togo,1998 DHS,Region : ..Lomé,25.3,5,,2.8,38.7,36,4.3,,
Togo,1998 DHS,Region : Plateaux,43.4,3,,0,43.9,12.7,1.3,,
Togo,1998 DHS,Region : Centrale,52.2,1,,0,35.2,12.7,,,
Togo,1998 DHS,Region : Kara,52,1.4,,0,32.2,15.8,,,
Togo,1998 DHS,Region : Savanes,82.7,0.2,,0,13.4,3.9,,,
,,,,,,,,,,,
Women with no education,Percentage of women with no education,,,,,,,,,,
Women with completed primary education,Percentage of women with completed primary education,,,,,,,,,,
Women with completed secondary education,Percentage of women with completed secondary education,,,,,,,,,,
Women with more than secondary education,Percentage of women with more than secondary education,,,,,,,,,,
Women with primary education,Percentage of women with primary education,,,,,,,,,,
Women with secondary or higher education,Percentage of women with secondary or higher education,,,,,,,,,,
Median years of education completed [Women],Median number of years of education completed by women,,,,,,,,,,
Women who can read a whole sentence,Percentage of women who can read a whole sentence,,,,,,,,,,
Women who are literate,Percentage of women who are literate,,,,,,,,,,
"ICF, 2015. The DHS Program STATcompiler. Funded by USAID. http://www.statcompiler.com. December 22 2021",,,,,,,,,,,
